,actor,ciudad,nombres
791,camino-fernández,no hay info,Teatro Albeniz
792,camino-fernández,no hay info,
793,camino-fernández,no hay info,
794,elena-rayos,no hay info,Arte Dramático
795,elena-rayos,no hay info,Real Escuela
796,elena-rayos,no hay info,Arte Dramático
797,elena-rayos,no hay info,
798,elena-rayos,no hay info,
799,elena-rayos,no hay info,
800,elena-rayos,no hay info,
801,inge-martín,no hay info,Antropología Social
802,inge-martín,Madrid,Interpretación Textual
803,inge-martín,no hay info,Performing Arts
804,inge-martín,no hay info,Middlesex University
805,inge-martín,Buenos Aires,Curso Regular
806,inge-martín,Buenos Aires,Alejandro Catalán
807,inge-martín,Buenos Aires,Buenos Aires
808,inge-martín,Madrid,Declan Donellan
809,inge-martín,Madrid,Centro Dramático
810,inge-martín,Buenos Aires,Javier Daulte
811,inge-martín,Buenos Aires,El Callejón
812,inge-martín,Buenos Aires,Buenos Aires
813,inge-martín,Mariano,
814,inge-martín,no hay info,Susan Batson
815,inge-martín,no hay info,
816,inge-martín,no hay info,
817,inge-martín,no hay info,
818,inge-martín,no hay info,
819,inge-martín,no hay info,
820,inge-martín,no hay info,
821,inge-martín,no hay info,
822,inge-martín,Madrid,Danza Clásica
823,inge-martín,Madrid,Estudio Carmen
824,inge-martín,no hay info,
825,inge-martín,Un,Premio Mi
826,inge-martín,Un,El Mundo
827,inge-martín,no hay info,
828,natalia-hernández,no hay info,Projet Thierry
829,natalia-hernández,no hay info,Antonio Latella
830,natalia-hernández,no hay info,Teatro Clásico
831,natalia-hernández,no hay info,Denis Rafter
832,natalia-hernández,no hay info,Compañía Nacional
833,natalia-hernández,no hay info,Teatro Clásico
834,natalia-hernández,no hay info,Cesar Oliva
835,natalia-hernández,no hay info,Teatro Clásico
836,natalia-hernández,no hay info,Teatro Clásico
837,natalia-hernández,no hay info,Arte Dramático
838,natalia-hernández,no hay info,Real Escuela
839,natalia-hernández,no hay info,Arte Dramatico
840,natalia-hernández,no hay info,Dña Micheline
841,natalia-hernández,Un,Angel Gutiérrez
842,natalia-hernández,no hay info,Dña Yolanda
843,natalia-hernández,Madrid,Real Conservatorio
844,natalia-hernández,no hay info,
845,natalia-hernández,no hay info,
846,natalia-hernández,no hay info,Sigfredo Diaz
847,natalia-hernández,no hay info,Julio Pardo
848,natalia-hernández,London,Royal Academy
849,natalia-hernández,no hay info,Experiencia Musical
850,natalia-hernández,no hay info,Zorba El
851,natalia-hernández,no hay info,Gustavo Tambascio
852,natalia-hernández,no hay info,Bellas Artes
853,natalia-hernández,no hay info,
854,natalia-hernández,no hay info,
855,natalia-hernández,Como,
856,natalia-hernández,Como,
857,natalia-hernández,no hay info,Teresa Berganza
858,natalia-hernández,no hay info,
859,anabel-maurín,Córdoba,Arte Dramático
860,anabel-maurín,Madrid,Teatro Clásico
861,anabel-maurín,no hay info,
862,anabel-maurín,no hay info,José Carlos
863,anabel-maurín,no hay info,Pablo Messiez
864,anabel-maurín,no hay info,Will Keen
865,anabel-maurín,no hay info,Juan Cavestany
866,anabel-maurín,no hay info,Martín Cuenca
867,anabel-maurín,no hay info,Augusto Fernándes
868,anabel-maurín,no hay info,Mar Navarro
869,anabel-maurín,no hay info,
870,anabel-maurín,no hay info,Conservatorio Superior
871,anabel-maurín,no hay info,
872,anabel-maurín,no hay info,Asesora Voz
873,anabel-maurín,no hay info,Borja Rodríguez
874,anabel-maurín,no hay info,Ballet Rafael
875,anabel-maurín,no hay info,La Hermosa
876,anabel-maurín,no hay info,Borja Rodríguez
877,anabel-maurín,no hay info,Esgrima Escénica
878,anabel-maurín,no hay info,Federico Wergne
879,anabel-maurín,Monzón,
880,anabel-maurín,no hay info,Colaboradora Cadena
881,anabel-maurín,no hay info,Ser Puertollano
882,anabel-maurín,no hay info,
883,anabel-maurín,no hay info,Nivel Medio
884,anabel-maurín,no hay info,
885,tatiana-astengo,Una,Gilbert Rouvi
886,tatiana-astengo,Una,Bruno Pereyra
887,tatiana-astengo,Una,Taller Timbre
888,tatiana-astengo,Una,Módulos Dirección
889,tatiana-astengo,Una,Claudio Tocachir
890,tatiana-astengo,Una,Fernando Piernas
891,tatiana-astengo,Una,Fernando Piernas
892,tatiana-astengo,Una,Estudio Internacional
893,tatiana-astengo,Una,Juan Carlos
894,tatiana-astengo,Una,Madrid En
895,tatiana-astengo,Una,Elvira Vicario
896,tatiana-astengo,Una,Improvisación Dirección
897,tatiana-astengo,Una,Consuelo Trujillo
898,tatiana-astengo,Una,Técnica Dirección
899,tatiana-astengo,Una,Manuel Morán
900,tatiana-astengo,Una,Universidad Católica
901,tatiana-astengo,Una,Dirección Cinematográfica
902,tatiana-astengo,Una,Peter Foster
903,tatiana-astengo,Una,Personaje Dirección
904,tatiana-astengo,Una,Peter Foster
905,tatiana-astengo,Una,Clown Dirección
906,tatiana-astengo,Una,July Natters
907,tatiana-astengo,Una,Dirección Escénica
908,tatiana-astengo,Una,De Material
909,tatiana-astengo,Una,Dramático Dirección
910,tatiana-astengo,Una,Jorge Guerra
911,tatiana-astengo,Una,New World
912,tatiana-astengo,Una,Teoría Teatral
913,tatiana-astengo,Una,Alberto Isola
914,tatiana-astengo,Una,Expresión Corporal
915,tatiana-astengo,Una,Danza Dirección
916,tatiana-astengo,Una,Mirella Carbone
917,tatiana-astengo,Una,Impostación Vocal
918,tatiana-astengo,Una,Teresa Rally
919,tatiana-astengo,Una,José Bárcenas
920,tatiana-astengo,Una,Escuela Cantorium
921,tatiana-astengo,Una,Mariella Monzón
922,tatiana-astengo,Una,Manuel Cuadros
923,tatiana-astengo,Una,Bar Impostación
924,tatiana-astengo,Una,Canto Dirección
925,tatiana-astengo,Una,Manuel Cuadros
926,tatiana-astengo,Una,Club Teatro
927,tatiana-astengo,Una,Lima Arte
928,tatiana-astengo,Una,Dramático Dirección
929,tatiana-astengo,Una,Reynaldo Damore
930,tatiana-astengo,Una,Universidad San
931,tatiana-astengo,Una,Porres Ciencias
932,tatiana-astengo,Una,Dancing Art
933,tatiana-astengo,Una,Danza Moderna
934,tatiana-astengo,Una,Expresión Corporal
935,tatiana-astengo,no hay info,
936,eva-trancón,Madrid,Arte Dramático
937,eva-trancón,Madrid,Real Escuela
938,eva-trancón,Madrid,Arte Dramático
939,eva-trancón,Salamanca,Relaciones Laborales
940,eva-trancón,no hay info,Luciano García
941,eva-trancón,no hay info,Francisco Portes
942,eva-trancón,no hay info,Antonio Fava
943,eva-trancón,no hay info,Scuela Internazionale
944,eva-trancón,no hay info,Attore Comico
945,eva-trancón,no hay info,Regio Emilia
946,eva-trancón,Cervia,Un Palcoscenico
947,eva-trancón,Cervia,Franca Rame
948,eva-trancón,Cervia,Dario Fo
949,eva-trancón,no hay info,Tango Argentino
950,eva-trancón,no hay info,Nivel Alto
951,eva-trancón,no hay info,Titulación Open
952,eva-trancón,Madrid,Theatre Complicité
953,eva-trancón,Madrid,Marcelo Magni
954,eva-trancón,Madrid,Fundación Teatro
955,eva-trancón,Madrid,Augusto Fernández
956,eva-trancón,Madrid,Seminario Práctico
957,eva-trancón,Madrid,Guillermo Heras
958,eva-trancón,no hay info,Will Kane
959,eva-trancón,no hay info,
960,rosalía-omil,Madrid,Iñaki Aierra
961,rosalía-omil,Madrid,Agustín Bellusci
962,rosalía-omil,Madrid,Fernando Becerra
963,rosalía-omil,Madrid,Jorge Eines
964,rosalía-omil,Madrid,Elfo Teatro
965,rosalía-omil,Madrid,Alfonso Romera
966,rosalía-omil,Madrid,
967,rosalía-omil,no hay info,Teatro Joven
968,rosalía-omil,no hay info,Tonucha Vidal
969,rosalía-omil,no hay info,Maximiliano Priorello
970,rosalía-omil,no hay info,Jacopo Mandeli
971,rosalía-omil,no hay info,Taller La
972,rosalía-omil,no hay info,Manuel Becerra
973,rosalía-omil,no hay info,Laura Manzini
974,rosalía-omil,no hay info,
975,rosalía-omil,no hay info,
976,rosalía-omil,no hay info,
977,rosalía-omil,no hay info,
978,mar-vidal,no hay info,Nacho Guerreros
979,mar-vidal,no hay info,Técnicas Ante
980,mar-vidal,no hay info,Antonio Naharro
981,mar-vidal,no hay info,Concha Plata
982,mar-vidal,Madrid,Bel Armenteros
983,mar-vidal,Goya,Roger Gual
984,mar-vidal,no hay info,Carlos Sedes
985,mar-vidal,no hay info,Gran Hotel
986,mar-vidal,Murcia,La Voz
987,mar-vidal,Murcia,Carmen Acosta
988,mar-vidal,Madrid,Cristina Alcázar
989,mar-vidal,Madrid,Ana Pascuala
990,mar-vidal,Madrid,Laura Delgado
991,mar-vidal,Murcia,Antón Valén
992,mar-vidal,no hay info,Técnica Actoral
993,mar-vidal,no hay info,
994,mar-vidal,no hay info,
995,mar-vidal,no hay info,
996,mar-vidal,no hay info,
997,mar-vidal,no hay info,
998,mar-vidal,no hay info,
999,mar-vidal,no hay info,
1000,mar-vidal,Cartagena,
1001,mar-vidal,no hay info,
1002,mar-vidal,Cartagena,Improvisación Francisco
